46 53221
4 9 -3.821538373220849
4 18 -3.278673395710241
4 28 -4.538216051190989
4 20 -6.484126200246301
4 4 -4.117002586114685
4 27 -4.117002586114685
4 14 -3.999219550458301
4 6 -6.196444127794520
4 10 -4.587006215360420
4 2 -5.973300576480311
4 13 -6.196444127794520
4 11 -5.790979019686357
4 25 -5.973300576480311
4 22 -6.484126200246301
4 34 -6.484126200246301
4 21 -6.196444127794520
4 16 -7.582738488914411
5 6 -4.554110782374616
5 18 -1.545133282070604
5 14 -1.503259209599546
5 20 -1.911883877998078
5 0 -1.702762226274187
5 19 -3.219109715642276
5 12 -3.018439020180125
5 11 -5.102676734123454
5 4 -3.092915113081608
5 22 -4.723187112418550
5 13 -3.918122015654619
5 16 -6.414863123089622
5 10 -5.962877999346565
5 7 -4.532131875655841
5 34 -7.667626091584991
5 2 -5.527559928088720
5 21 -4.623103653861568
5 24 -5.182719441796991
5 9 -5.365040998590945
5 3 -5.269730818786620
5 25 -5.962877999346565
5 1 -6.414863123089622
5 8 -5.795823914683399
5 15 -6.751335359710835
5 27 -7.262160983476826
5 23 -8.360773272144936
5 5 -7.667626091584991
5 26 -8.360773272144936
6 7 -5.188502500540830
6 12 -2.428492560507909
6 20 -2.969299016485836
6 9 -2.343593116721423
6 5 -3.539843874953448
6 29 -1.338354898830772
6 25 -3.853501433808490
6 28 -3.430644582988456
6 1 -2.428492560507909
6 18 -2.254645630704927
6 15 -2.623553143079293
6 27 -2.754889145140381
6 6 -3.853501433808490
6 21 -3.706897959616615
6 14 -4.600715835638711
6 11 -6.797940412974930
6 0 -3.853501433808490
6 13 -6.797940412974930
6 10 -5.188502500540830
7 8 -5.105187611037478
7 0 -1.651239663989794
7 5 -1.173361978313153
7 18 -2.950522648120055
7 27 -3.423429037023752
7 12 -3.888792286712985
7 9 -3.888792286712985
7 1 -1.911629594153568
7 20 -3.107091708811595
7 4 -4.049134936788165
7 25 -6.086016864049205
7 29 -3.783431771055159
7 19 -3.313428141809424
7 10 -4.240190173550874
7 15 -3.852424642542111
7 34 -6.491481972157369
7 2 -5.392869683489260
7 28 -5.238719003662001
7 21 -4.294257394821150
7 7 -4.240190173550874
7 13 -6.086016864049205
7 14 -4.619679795255778
7 17 -5.798334791597424
7 16 -6.086016864049205
7 11 -7.184629152717315
7 39 -7.184629152717315
7 22 -7.184629152717315
7 6 -7.184629152717315
8 9 -3.737669618283368
8 1 -0.973266480630027
8 28 -3.235577674486132
8 5 -2.069142789479261
8 0 -1.642055217357931
